date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:01	20309/20309	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro2.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro2.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:02	31798/31798	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro3.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro3.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:02	20617/20617	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro4.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro4.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:03	21299/21299	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro5.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro5.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:04	26395/26395	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro6.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro6.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:04	25243/25243	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro7.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro7.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:05	17820/17820	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro8.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro8.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:06	20043/20043	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro9.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro9.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:07	40920/40920	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro10.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro10.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:08	34672/34672	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro12.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/pro12.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
17:48:10	9863/9863	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/magnific-popup.css	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/css/magnific-popup.css	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/product.html)
